Index,X,Y,Z
1363,2037.2078,163.0928,-71.89713
1364,1450.2482,116.10954,-1870.4613
1366,329.88623,26.43715,247.44456
1369,1391.2389,111.60684,818.7243
1374,1135.3062,91.61929,448.14886
1375,488.56818,39.43854,2007.1323
1376,3696.9292,298.42804,-5381.6606
1380,1385.126,112.113,681.99756
1391,548.96295,44.89356,-317.4497
1392,1459.3616,119.35836,1403.7158
1393,816.7803,66.82639,-770.5286
1397,1320.266,108.33965,-1098.9023
1398,771.5099,63.32458,-1972.1599
1405,674.9553,55.85496,-781.49347
1406,1520.6766,125.8704,-312.91626
1414,1121.4388,93.23535,-511.4787
1415,1765.9282,147.09856,476.00232
1423,2416.384,202.40092,-1092.454
1429,801.7176,67.45704,1377.0953
1431,871.7619,73.49977,7.94891
1433,1539.2223,129.82323,386.70218
1440,2497.5667,211.62408,398.97504
1443,897.5456,76.09986,2155.8328
1447,828.8032,70.42663,-129.12354
1454,4259.7607,364.846,-5173.4263
1455,431.81888,37.03502,-54.93629
1456,255.1231,21.88079,-670.65485
1460,3807.688,329.1547,1702.8981
1464,311.86975,27.03223,-562.70154
1483,8050.0864,707.2784,891.11194
1489,3070.1797,270.7518,163.3353
1491,1580.3838,139.4878,-368.07178
1495,501.4814,44.37207,378.28372
1498,912.12695,80.81786,153.66988
1507,1364.7727,121.84297,821.20544
1509,967.58264,86.66406,-1804.276
1511,782.80115,70.14927,-590.8882
1512,3046.7834,273.04865,535.95245
1516,2143.263,192.50836,2055.9807
1520,1232.2584,111.04763,178.0763
1523,35.25369,3.19624,-868.8442
1528,2836.405,257.41275,-1356.4226
1529,2560.8047,232.58704,1282.7933
1532,728.3848,66.25996,-403.72647
1536,3121.4966,284.4876,-47.65806
1542,567.5224,51.90348,369.78052
1546,120.08731,11.00914,293.55615
1550,639.5077,58.79998,-412.6614
1552,5683.3486,523.4468,-915.4043
1554,804.6053,74.18534,-41.06814
1557,513.0224,47.4471,193.5218
1559,5325.116,493.2232,2532.3213
1560,2031.9082,188.43518,1126.6816
1562,3060.0425,284.16766,-447.30118
1564,3882.6611,360.95428,-2812.23
1565,1989.6226,185.3887,960.9529
1576,378.8993,35.61585,-1706.329
1579,7214.431,679.85016,3686.191
1580,1273.1487,119.98405,-868.07837
1585,1155.853,109.1839,913.1932
1587,2336.6714,220.7875,3659.892
1589,175.27878,16.56828,-404.45352
1601,1178.5238,112.73511,1892.3093
1607,947.5296,91.14126,788.5488
1610,1908.2589,183.75719,984.65607
1612,596.64105,57.5853,-480.2111
1616,863.83264,83.51233,-1724.4294
1617,744.4077,72.13899,1716.83
1618,1488.9337,144.31541,-1185.0015
1621,1061.3477,103.14807,-255.3312
1626,3310.9956,322.80276,1153.8809
1635,1286.987,126.04413,179.06174
1642,484.20114,47.59897,536.3052
1643,699.75757,68.94114,-1171.2687
1644,561.4274,55.36039,-1140.3477
1652,2131.9126,211.70673,-862.4246
1657,3883.3647,386.7418,-2410.7903
1661,2988.3096,298.0223,-2545.824
1668,259.83127,26.00112,-1545.4928
1674,1671.5013,167.93755,-633.33307
1680,1560.5114,157.2126,-1595.2635
1685,2864.741,289.16028,3708.2517
1687,3231.9868,326.48816,-927.9503
1692,5729.294,580.3411,-3967.435
1695,1472.2892,149.61546,-890.4548
1696,1845.174,187.51369,-433.9242
1698,1695.772,172.50455,1597.9967
1701,1644.9778,167.69237,2056.1433
1702,1557.9543,158.92316,2738.4045
1705,3993.8281,407.62778,-109.30117
1706,2232.9502,228.04338,4277.8145
1707,1019.3258,104.11732,168.68542
1710,1988.1339,203.42944,-1146.7498
1714,3050.4543,312.886,2593.3765
1716,2274.7168,233.6005,-1946.5667
1726,1041.6724,107.80742,944.7903
1733,3037.1501,314.94977,-4286.882
1736,5855.027,608.1096,3317.0208
1742,1029.0061,107.10955,175.3345
1746,1885.4979,197.04013,637.23846
1748,1748.718,182.88008,-1383.2273
1750,263.37415,27.5497,476.97406
1755,1622.8973,170.44794,-846.3213
1756,597.0128,62.72969,-192.85484
1758,3001.8381,315.9356,2407.5913
1760,1095.6469,115.58128,1073.8066
1764,783.24066,82.73888,-2217.21
1765,245.78249,25.99514,-468.4613
1770,1092.0577,115.89457,1132.1716
1771,1856.4473,197.08186,-147.01637
1772,530.735,56.34928,729.8278
