Index,X,Y,Z
62865,-451.10623,-281.85107,434.48272
62866,-1197.88357,-748.54952,889.83624
62867,-3316.834,-2072.91759,-4775.51867
62868,-343.90051,-214.9492,413.29825
62869,-1811.89902,-1132.52825,-1405.5028
62870,-1408.37344,-880.48503,-137.87401
62871,-1385.93682,-866.56271,-3433.01456
62872,-519.74742,-324.98972,-140.71277
62873,-151.20626,-94.55083,-1096.70619
62874,-2613.51063,-1634.84978,-3340.3577
62875,-2190.22635,-1370.26273,-47.28727
62876,-3523.05094,-2204.4466,-3874.47842
62877,-2252.29289,-1409.6267,1340.83414
62878,-1366.48629,-855.51532,1203.84488
62879,-23.42929,-14.67099,166.93229
62880,-246.47763,-154.32844,-577.77318
62881,-429.71123,-269.13504,-1004.10667
62882,-572.56135,-358.67575,261.96457
62883,-2181.53673,-1366.67649,1163.14526
62884,-927.27228,-581.04765,1279.34546
62885,-3524.77904,-2208.89337,1728.3773
62886,-1235.10475,-774.16817,438.03767
62887,-611.75753,-383.56063,-809.31388
62888,-275.76522,-172.90628,-446.8064
62889,-2514.03038,-1576.36257,-883.05917
62890,-187.49696,-117.5674,-286.20648
62891,-1637.39904,-1026.75134,-1273.99944
62892,-1384.21706,-867.99409,-1063.18328
62893,-919.54335,-576.61699,471.66108
62894,-2645.98067,-1659.58776,961.35224
62895,-1242.39976,-779.33036,-2861.48612
62896,-2239.18734,-1404.81792,-1309.2591
62897,-3994.19485,-2505.91306,-1050.9881
62898,-1174.04249,-736.60589,1045.52254
62899,-1472.33019,-923.8215,1876.12208
62900,-816.0795,-512.09401,553.48137
62901,-655.04884,-411.06535,-2176.13956
62902,-2207.9219,-1385.65503,1454.54933
62903,-63.08201,-39.59151,-275.07493
62904,-1723.63952,-1081.97172,695.1386
62905,-868.0022,-544.9349,-214.65891
62906,-625.71091,-392.86875,409.24407
62907,-612.27125,-384.68431,-362.9347
62908,-381.33979,-239.6693,-1511.61267
62909,-1709.90548,-1074.86551,262.43348
62910,-2792.05147,-1755.99517,-6820.04684
62911,-3543.316,-2228.68619,-5787.7695
62912,-2518.6594,-1584.28389,-3746.95185
62913,-5457.906,-3433.94654,1304.53705
62914,-2287.82547,-1439.46166,-5635.27327
62915,-531.15259,-334.1962,418.24519
62916,-1385.84498,-872.13102,520.64791
62917,-2249.08769,-1415.49218,-2443.53256
62918,-910.94079,-573.44642,720.58589
62919,-516.8608,-325.38208,1030.16577
62920,-1046.71706,-659.10341,-1022.95047
62921,-363.241,-228.83295,34.08929
62922,-2808.76905,-1769.47003,-1484.22888
62923,-1503.50613,-947.1946,-568.35176
62924,-255.51841,-160.98449,1367.61257
62925,-988.71891,-623.01988,-1107.86551
62926,-422.94748,-266.53359,609.14198
62927,-1107.34582,-697.82933,-1522.83026
62928,-892.17073,-562.36789,372.78427
62929,-2071.41409,-1305.82671,2547.58124
62930,-2128.30412,-1341.74869,1573.2932
62931,-723.12419,-455.89882,-423.95931
62932,-470.07515,-296.40053,-1385.22301
62933,-773.00707,-487.43512,988.07916
62934,-1649.42813,-1040.08323,-3281.08653
62935,-1085.68566,-684.81206,-2116.40539
62936,-402.70791,-254.04146,392.84706
62937,-2204.84534,-1391.21656,-2256.94061
62938,-1532.54151,-967.01241,-632.66584
62939,-1058.50385,-667.9301,-228.23819
62940,-599.38673,-378.25072,-237.15982
62941,-259.13252,-163.53404,-391.3232
62942,-4624.42859,-2918.83126,-5579.44805
